model,condition,examples,accuracy,macro_f1
logistic_regression,heldout_clean,1000,0.525,0.5240056295047678
logistic_regression,clean,1000,0.525,0.5240056295047678
logistic_regression,low_snr,1000,0.241,0.24089819767119802
logistic_regression,narrowband_jam,1000,0.258,0.19051685763244014
logistic_regression,broadband_jam,1000,0.367,0.3687337731870194
logistic_regression,frequency_offset,1000,0.428,0.4368159307724875
logistic_regression,multipath,1000,0.367,0.35749241750338157
logistic_regression,impulsive_noise,1000,0.231,0.19788810029926063
random_forest,heldout_clean,1000,0.555,0.5539531793335017
random_forest,clean,1000,0.555,0.5539531793335017
random_forest,low_snr,1000,0.266,0.2609388213603382
random_forest,narrowband_jam,1000,0.197,0.10337598925288036
random_forest,broadband_jam,1000,0.36,0.3543685251299642
random_forest,frequency_offset,1000,0.435,0.4329978457017253
random_forest,multipath,1000,0.367,0.3268381597565146
random_forest,impulsive_noise,1000,0.285,0.23410418783670842
rbf_svm,heldout_clean,1000,0.538,0.5387927866469061
rbf_svm,clean,1000,0.538,0.5387927866469061
rbf_svm,low_snr,1000,0.216,0.2134707043090301
rbf_svm,narrowband_jam,1000,0.218,0.15364774767458073
rbf_svm,broadband_jam,1000,0.334,0.34043847090642676
rbf_svm,frequency_offset,1000,0.433,0.43453354269876854
rbf_svm,multipath,1000,0.378,0.3529950250107447
rbf_svm,impulsive_noise,1000,0.269,0.21230793324756006
