model,model_label,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,Logistic Regression,low_snr,0.28,49.48128101037438,0.2870314218967745,47.1672778443927
logistic_regression,Logistic Regression,narrowband_jam,0.2435,56.06675687866487,0.1693523421192544,68.82799388839851
logistic_regression,Logistic Regression,broadband_jam,0.35925,35.182679296346414,0.3705565949640995,31.793134370818574
logistic_regression,Logistic Regression,frequency_offset,0.476,14.118177717636453,0.4643953296076513,14.520614999613631
logistic_regression,Logistic Regression,multipath,0.4045,27.01849345963013,0.3726429451711132,31.409108259398295
logistic_regression,Logistic Regression,impulsive_noise,0.26225,52.68380694632386,0.2183067378959207,59.81715468036784
random_forest,Random Forest,low_snr,0.28025,52.68045588856057,0.2744975327938809,53.45378006363269
random_forest,Random Forest,narrowband_jam,0.215,63.6977627691009,0.098887254993302,83.23180586370472
random_forest,Random Forest,broadband_jam,0.3885,34.402701561840445,0.3868341347904699,34.404996163036714
random_forest,Random Forest,frequency_offset,0.44,25.7070493879274,0.4268675910434997,27.616570632940284
random_forest,Random Forest,multipath,0.36725,37.99071338117349,0.3334482030601159,43.45758506807019
random_forest,Random Forest,impulsive_noise,0.267,54.91768678767413,0.2116823266058832,64.10527981598302
rbf_svm,RBF-SVM,low_snr,0.25475,55.28740675734972,0.2560122772259977,54.757566886321904
rbf_svm,RBF-SVM,narrowband_jam,0.203,64.37033786748574,0.1234276831077533,78.18788708930042
rbf_svm,RBF-SVM,broadband_jam,0.35175,38.26239578762615,0.3630226612409287,35.84671544699538
rbf_svm,RBF-SVM,frequency_offset,0.46275,18.780166739798155,0.4557037094078753,19.468141075356396
rbf_svm,RBF-SVM,multipath,0.39825,30.10092145677929,0.3652058620315484,35.460900685244134
rbf_svm,RBF-SVM,impulsive_noise,0.26625,53.26897762176394,0.2016690116118811,64.36109678873802
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,low_snr,0.19375,52.791878172588824,0.1671121900498321,59.038228140919266
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,narrowband_jam,0.2229166666666666,45.68527918781725,0.1684464961090288,58.71116917310424
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,broadband_jam,0.2416666666666666,41.116751269035525,0.2369599990476412,41.917454269355865
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,frequency_offset,0.31875,22.335025380710665,0.2819635382979089,30.886393596457307
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,multipath,0.3354166666666666,18.274111675126907,0.3195785711634828,21.66636964576879
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,impulsive_noise,0.1604166666666666,60.91370558375634,0.1209094949869178,70.36322037444467
classical_pca_rbf_svm,Classical PCA-RBF SVM,low_snr,0.1645833333333333,59.693877551020414,0.1385981149606065,65.8118855811929
classical_pca_rbf_svm,Classical PCA-RBF SVM,narrowband_jam,0.2354166666666666,42.3469387755102,0.1811998425588657,55.30328134814033
classical_pca_rbf_svm,Classical PCA-RBF SVM,broadband_jam,0.2458333333333333,39.795918367346935,0.2406143160734239,40.64746283844241
classical_pca_rbf_svm,Classical PCA-RBF SVM,frequency_offset,0.3208333333333333,21.428571428571423,0.2848812637594625,29.728097355789306
classical_pca_rbf_svm,Classical PCA-RBF SVM,multipath,0.34375,15.816326530612242,0.3194838314659849,21.19265266903185
classical_pca_rbf_svm,Classical PCA-RBF SVM,impulsive_noise,0.2083333333333333,48.97959183673469,0.156554612587518,61.38254110125987
iq_cnn,Raw-IQ CNN,low_snr,0.41425,36.61055853098699,0.3971112211845525,36.27907786671016
iq_cnn,Raw-IQ CNN,narrowband_jam,0.2045,68.70696250956388,0.1488437113864719,76.1163673114151
iq_cnn,Raw-IQ CNN,broadband_jam,0.5075,22.341239479724564,0.4832720140667552,22.453618193693696
iq_cnn,Raw-IQ CNN,frequency_offset,0.246,62.35654169854629,0.178869906204423,71.29832964366439
iq_cnn,Raw-IQ CNN,multipath,0.44975,31.178270849273144,0.448028089948897,28.10889869089709
iq_cnn,Raw-IQ CNN,impulsive_noise,0.218,66.64116296863045,0.1875835248966885,69.90013239168852
