model,snr_db,examples,accuracy,macro_f1
logistic_regression,-6.0,198,0.3181818181818182,0.27848469543325116
logistic_regression,0.0,221,0.48868778280542985,0.48253199884005893
logistic_regression,6.0,190,0.5894736842105263,0.5971490302150679
logistic_regression,12.0,194,0.634020618556701,0.6278051602452852
logistic_regression,18.0,197,0.583756345177665,0.588498566293588
random_forest,-6.0,198,0.32323232323232326,0.2898521168297499
random_forest,0.0,221,0.47058823529411764,0.4659551661123877
random_forest,6.0,190,0.6,0.5963375695591837
random_forest,12.0,194,0.6752577319587629,0.6747455761965804
random_forest,18.0,197,0.7969543147208121,0.8069448873665492
rbf_svm,-6.0,198,0.2777777777777778,0.24561017913174255
rbf_svm,0.0,221,0.4298642533936652,0.4051823390158694
rbf_svm,6.0,190,0.5789473684210527,0.5818746288739367
rbf_svm,12.0,194,0.6494845360824743,0.6426353695745195
rbf_svm,18.0,197,0.6751269035532995,0.6880509488281568
